From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q59GJ9	Q59GJ9	unreviewed	Q59GJ9_HUMAN	Acetyl-CoA carboxylase 2 variant		Homo sapiens (Human)	1689
Q8TBJ0	Q16798	reviewed	MAON_HUMAN	NADP-dependent malic enzyme, mitochondrial (NADP-ME) (EC 1.1.1.40) (Malic enzyme 3)	ME3	Homo sapiens (Human)	604
Q546D3	P18827	reviewed	SDC1_HUMAN	Syndecan-1 (SYND1) (CD antigen CD138)	SDC1 SDC	Homo sapiens (Human)	310
Q9UJ34	Q9UJ34	unreviewed	Q9UJ34_HUMAN	Homo sapiens partial putative protein kinase ERK3		Homo sapiens (Human)	113
Q5SY67	P31151	reviewed	S10A7_HUMAN	Protein S100-A7 (Psoriasin) (S100 calcium-binding protein A7)	S100A7 PSOR1 S100A7C	Homo sapiens (Human)	101
Q9NPD0	Q9NPD0		PART1_HUMAN	deleted			
Q8TB04	Q8TB04		Q8TB04_HUMAN	deleted			
Q9UHW2	Q9UHC7	reviewed	MKRN1_HUMAN	E3 ubiquitin-protein ligase makorin-1 (EC 2.3.2.27) (RING finger protein 61) (RING-type E3 ubiquitin transferase makorin-1)	MKRN1 RNF61	Homo sapiens (Human)	482
Q9UC25	P05060	reviewed	SCG1_HUMAN	Secretogranin-1 (Chromogranin-B) (CgB) (Secretogranin I) (SgI) [Cleaved into: PE-11; GAWK peptide; CCB peptide]	CHGB SCG1	Homo sapiens (Human)	677
Q5XPV5	P19474	reviewed	RO52_HUMAN	E3 ubiquitin-protein ligase TRIM21 (EC 2.3.2.27) (52 kDa Ro protein) (52 kDa ribonucleoprotein autoantigen Ro/SS-A) (RING finger protein 81) (Ro(SS-A)) (Sjoegren syndrome type A antigen) (SS-A) (Tripartite motif-containing protein 21)	TRIM21 RNF81 RO52 SSA1	Homo sapiens (Human)	475
Q8N0Z0	Q8N0Z0	unreviewed	Q8N0Z0_HUMAN	Seven transmembrane helix receptor		Homo sapiens (Human)	347
Q9NNW8	Q9NNW8	unreviewed	Q9NNW8_HUMAN	guanylate cyclase (EC 4.6.1.2)		Homo sapiens (Human)	564
Q05CZ2	Q05CZ2		Q05CZ2_HUMAN	deleted			
Q6IAW7	O15466	reviewed	SIA8E_HUMAN	Alpha-2,8-sialyltransferase 8E (EC 2.4.99.-) (Sialyltransferase 8E) (SIAT8-E) (Sialyltransferase St8Sia V) (ST8SiaV)	ST8SIA5 SIAT8E	Homo sapiens (Human)	376
Q6IBD4	P53803	reviewed	RPAB4_HUMAN	DNA-directed RNA polymerases I, II, and III subunit RPABC4 (RNA polymerases I, II, and III subunit ABC4) (ABC10-alpha) (DNA-directed RNA polymerase II subunit K) (RNA polymerase II 7.0 kDa subunit) (RPB7.0) (RPB10alpha)	POLR2K	Homo sapiens (Human)	58
Q769K1	Q6IQ20	reviewed	NAPEP_HUMAN	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D (N-acyl phosphatidylethanolamine phospholipase D) (NAPE-PLD) (NAPE-hydrolyzing phospholipase D) (EC 3.1.4.54)	NAPEPLD C7orf18	Homo sapiens (Human)	393
Q9H315	O43236	reviewed	SEPT4_HUMAN	Septin-4 (Bradeion beta) (Brain protein H5) (CE5B3 beta) (Cell division control-related protein 2) (hCDCREL-2) (Peanut-like protein 2)	SEPTIN4 C17orf47 PNUTL2 SEP4 SEPT4 hucep-7	Homo sapiens (Human)	478
Q9H2Q1	Q9H2Q1		TM133_HUMAN	deleted			
Q6UXR6	Q6UXR6	reviewed	YI004_HUMAN	Putative uncharacterized protein UNQ6494/PRO21346	UNQ6494/PRO21346	Homo sapiens (Human)	183
Q9NWZ6	Q9BVW5	reviewed	TIPIN_HUMAN	TIMELESS-interacting protein	TIPIN	Homo sapiens (Human)	301
Q9NWT3	Q5VZ89	reviewed	DEN4C_HUMAN	DENN domain-containing protein 4C	DENND4C C9orf55 C9orf55B	Homo sapiens (Human)	1909
Q6ZQY7	Q6ZQY7	reviewed	YO026_HUMAN	Putative uncharacterized protein FLJ46792		Homo sapiens (Human)	126
Q8NHB4	Q8NHB4		Q8NHB4_HUMAN	deleted			
Q8N814	Q8N814	reviewed	YG045_HUMAN	Putative uncharacterized protein FLJ40140		Homo sapiens (Human)	137
Q8N2I3	Q6UX73	reviewed	CP089_HUMAN	UPF0764 protein C16orf89	C16orf89 UNQ904/PRO1925	Homo sapiens (Human)	402
Q7L4D9	Q7L4D9		Q7L4D9_HUMAN	deleted			
Q9NU98	Q9NU98		Q9NU98_HUMAN	deleted			
Q5S4N1	Q5S4N1	unreviewed	Q5S4N1_HUMAN	DDX3X helicase		Homo sapiens (Human)	362
Q6ZMU0	Q6ZMU0	unreviewed	Q6ZMU0_HUMAN	Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)		Homo sapiens (Human)	359
Q53TI7	P98066	reviewed	TSG6_HUMAN	Tumor necrosis factor-inducible gene 6 protein (EC 3.1.1.-) (Hyaluronate-binding protein) (TNF-stimulated gene 6 protein) (TSG-6) (Tumor necrosis factor alpha-induced protein 6) (TNF alpha-induced protein 6)	TNFAIP6 TSG6	Homo sapiens (Human)	277
Q9UJ94	Q9UJ94		CU104_HUMAN	deleted			
Q9P1G0	Q9P1G0	unreviewed	Q9P1G0_HUMAN	PRO1941		Homo sapiens (Human)	103
Q8NDR1	Q8N8M0	reviewed	NAT16_HUMAN	Probable N-acetyltransferase 16 (EC 2.3.1.-)	NAT16 C7orf52	Homo sapiens (Human)	369
Q9P2C3	Q5T5U3	reviewed	RHG21_HUMAN	Rho GTPase-activating protein 21 (Rho GTPase-activating protein 10) (Rho-type GTPase-activating protein 21)	ARHGAP21 ARHGAP10 KIAA1424	Homo sapiens (Human)	1958
Q86U72	Q86U72	unreviewed	Q86U72_HUMAN	Cyclin G associated kinase		Homo sapiens (Human)	416
Q8TEL8	O75923	reviewed	DYSF_HUMAN	Dysferlin (Dystrophy-associated fer-1-like protein) (Fer-1-like protein 1)	DYSF FER1L1	Homo sapiens (Human)	2080
Q9NW86	Q9NW86	unreviewed	Q9NW86_HUMAN	cDNA FLJ10218 fis, clone HEMBA1006936		Homo sapiens (Human)	216
Q8NHD5	Q14162	reviewed	SREC_HUMAN	Scavenger receptor class F member 1 (Acetyl LDL receptor) (Scavenger receptor expressed by endothelial cells 1) (SREC-I)	SCARF1 KIAA0149 SREC	Homo sapiens (Human)	830
Q6NZ37	A6ND91	reviewed	ASPDH_HUMAN	Aspartate dehydrogenase domain-containing protein	ASPDH	Homo sapiens (Human)	283
Q9H7G4	Q96DC8	reviewed	ECHD3_HUMAN	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	ECHDC3 PP1494 PP8332	Homo sapiens (Human)	303
Q6PJG0	Q6PJG0	unreviewed	Q6PJG0_HUMAN	Ig-like domain-containing protein		Homo sapiens (Human)	235
Q86SZ6	O15321	reviewed	TM9S1_HUMAN	Transmembrane 9 superfamily member 1 (MP70 protein family member) (hMP70)	TM9SF1	Homo sapiens (Human)	606
Q49AA8	Q49AA8		Q49AA8_HUMAN	deleted			
Q5VYK5	Q5VYK5		Q5VYK5_HUMAN	deleted			
Q7Z2Y1	O60896	reviewed	RAMP3_HUMAN	Receptor activity-modifying protein 3 (Calcitonin-receptor-like receptor activity-modifying protein 3) (CRLR activity-modifying protein 3)	RAMP3	Homo sapiens (Human)	148
Q9UE66	Q9UE66	unreviewed	Q9UE66_HUMAN	LIM-homeodomain protein LMX1B/LMX1.2		Homo sapiens (Human)	161
Q9H9E2	Q9H9E2	unreviewed	Q9H9E2_HUMAN	cDNA FLJ12813 fis, clone NT2RP2002503, weakly similar to ZINC FINGER PROTEIN 45		Homo sapiens (Human)	538
Q6FG51	P15407	reviewed	FOSL1_HUMAN	Fos-related antigen 1 (FRA-1)	FOSL1 FRA1	Homo sapiens (Human)	271
Q86X23	O15131	reviewed	IMA6_HUMAN	Importin subunit alpha-6 (Karyopherin subunit alpha-5)	KPNA5	Homo sapiens (Human)	539
Q59G20	Q59G20	unreviewed	Q59G20_HUMAN	Beta isoform of regulatory subunit B56, protein phosphatase 2A variant		Homo sapiens (Human)	369
Q8NAK9	Q8NAK9	unreviewed	Q8NAK9_HUMAN	cDNA FLJ35170 fis, clone PLACE6012942, highly similar to SPLICING FACTOR, ARGININE/SERINE-RICH 2		Homo sapiens (Human)	201
Q4KN10	P01286	reviewed	SLIB_HUMAN	Somatoliberin (Growth hormone-releasing factor) (GRF) (Growth hormone-releasing hormone) (GHRH) (Somatocrinin) (Somatorelin) (Sermorelin)	GHRH GHRF	Homo sapiens (Human)	108
Q6ZRJ6	Q6ZRJ6		Q6ZRJ6_HUMAN	deleted			
Q5W0G5	Q5W0G5		Q5W0G5_HUMAN	deleted			
Q96NH1	Q96NH1	unreviewed	Q96NH1_HUMAN	HCG2033177 (cDNA FLJ30908 fis, clone FEBRA2006150)	hCG_2033177	Homo sapiens (Human)	127
Q8N6K2	O75355	reviewed	ENTP3_HUMAN	Ectonucleoside triphosphate diphosphohydrolase 3 (NTPDase 3) (EC 3.6.1.5) (CD39 antigen-like 3) (Ecto-ATP diphosphohydrolase 3) (Ecto-ATPDase 3) (Ecto-ATPase 3) (Ecto-apyrase 3) (HB6)	ENTPD3 CD39L3	Homo sapiens (Human)	529
Q8N6Q6	A1A4F0	reviewed	S66AL_HUMAN	Putative uncharacterized protein SLC66A1L (PQ-loop repeat-containing protein 2-like) (Solute carrier family 66 member 1-like)	SLC66A1L C3orf55 PQLC2L	Homo sapiens (Human)	135
Q6ZPC6	Q6ZPC6	unreviewed	Q6ZPC6_HUMAN	cDNA FLJ26056 fis, clone PRS03239		Homo sapiens (Human)	127
Q9H6J9	O75179	reviewed	ANR17_HUMAN	Ankyrin repeat domain-containing protein 17 (Gene trap ankyrin repeat protein) (Serologically defined breast cancer antigen NY-BR-16)	ANKRD17 GTAR KIAA0697	Homo sapiens (Human)	2603
Q9H0H1	A6NC98	reviewed	CC88B_HUMAN	Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3) (HkRP3)	CCDC88B BRLZ	Homo sapiens (Human)	1476
Q9P193	Q9P193	unreviewed	Q9P193_HUMAN	PRO1776		Homo sapiens (Human)	74
Q8N2T6	Q8N2T6		Q8N2T6_HUMAN	deleted			
Q6ZSH9	Q6ZSH9	unreviewed	Q6ZSH9_HUMAN	HCG2045601 (cDNA FLJ45513 fis, clone BRTHA2021450)	hCG_2045601	Homo sapiens (Human)	130
P59092	P59092		CU094_HUMAN	deleted			
Q9Y410	Q9HC78	reviewed	ZBT20_HUMAN	Zinc finger and BTB domain-containing protein 20 (Dendritic-derived BTB/POZ zinc finger protein) (Zinc finger protein 288)	ZBTB20 DPZF ZNF288	Homo sapiens (Human)	741
Q9UCR8	P10145	reviewed	IL8_HUMAN	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)]	CXCL8 IL8	Homo sapiens (Human)	99
Q96HC5	P26368	reviewed	U2AF2_HUMAN	Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (hU2AF(65)) (hU2AF65) (U2 snRNP auxiliary factor large subunit)	U2AF2 U2AF65	Homo sapiens (Human)	475
Q8TDG6	Q8TDG6	unreviewed	Q8TDG6_HUMAN	Alpha-1,4 glucan phosphorylase (EC 2.4.1.1)		Homo sapiens (Human)	202
Q8N2F7	Q4G176	reviewed	ACSF3_HUMAN	Malonate--CoA ligase ACSF3, mitochondrial (EC 6.2.1.76) (Acyl-CoA synthetase family member 3)	ACSF3 PSEC0197	Homo sapiens (Human)	576
Q7Z5Y8	Q6XYB7	reviewed	LBX2_HUMAN	Transcription factor LBX2 (Ladybird homeobox 2) (Ladybird homeobox protein homolog 2)	LBX2 LP3727	Homo sapiens (Human)	198
Q5TA80	O14633	reviewed	LCE2B_HUMAN	Late cornified envelope protein 2B (Late envelope protein 10) (Skin-specific protein Xp5) (Small proline-rich-like epidermal differentiation complex protein 1B)	LCE2B LEP10 SPRL1B XP5	Homo sapiens (Human)	110
Q9P2E0	Q8NCU4	reviewed	CC191_HUMAN	Coiled-coil domain-containing protein 191	CCDC191 KIAA1407	Homo sapiens (Human)	936
Q96N39	Q52MB2	reviewed	CC184_HUMAN	Coiled-coil domain-containing protein 184	CCDC184 C12orf68	Homo sapiens (Human)	194
Q9HD73	Q9HD73	unreviewed	Q9HD73_HUMAN	Ornithine decarboxylase antizyme		Homo sapiens (Human)	189
Q8NHT0	Q8NHT0		Q8NHT0_HUMAN	deleted			
Q5M7Z1	P54725	reviewed	RD23A_HUMAN	UV excision repair protein RAD23 homolog A (HR23A) (hHR23A)	RAD23A	Homo sapiens (Human)	363
Q9HA55	Q9HA55	unreviewed	Q9HA55_HUMAN	cDNA FLJ12221 fis, clone MAMMA1001091		Homo sapiens (Human)	312
Q549U0	P08236	reviewed	BGLR_HUMAN	Beta-glucuronidase (EC 3.2.1.31) (Beta-G1)	GUSB	Homo sapiens (Human)	651
Q9H7F3	Q9H7F3	unreviewed	Q9H7F3_HUMAN	cDNA: FLJ20980 fis, clone ADSU01986		Homo sapiens (Human)	324
Q9P264	Q6VN20	reviewed	RBP10_HUMAN	Ran-binding protein 10 (RanBP10)	RANBP10 KIAA1464	Homo sapiens (Human)	620
Q5SQS9	Q5SQS9		Q5SQS9_HUMAN	deleted			
Q8WV71	Q8N4S0	reviewed	CCD82_HUMAN	Coiled-coil domain-containing protein 82	CCDC82 HT025	Homo sapiens (Human)	544
Q9H763	Q8N699	reviewed	MYCT1_HUMAN	Myc target protein 1 (Myc target in myeloid cells protein 1)	MYCT1 MTLC MTMC1	Homo sapiens (Human)	235
Q6ZU89	Q6ZU89		YV026_HUMAN	deleted			
Q8IX32	Q8IX32	unreviewed	Q8IX32_HUMAN	T lymphocyte c-maf long form		Homo sapiens (Human)	29
Q6ZVH6	Q6ZVH6	reviewed	YK004_HUMAN	Putative uncharacterized protein FLJ42569		Homo sapiens (Human)	145
Q969J9	Q14118	reviewed	DAG1_HUMAN	Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	DAG1	Homo sapiens (Human)	895
Q6ZU88	Q6ZU88		Q6ZU88_HUMAN	deleted			
Q7Z6C3	P13942	reviewed	COBA2_HUMAN	Collagen alpha-2(XI) chain	COL11A2	Homo sapiens (Human)	1736
Q9BYF0	Q06278	reviewed	AOXA_HUMAN	Aldehyde oxidase (EC 1.2.3.1) (Aldehyde oxidase 1) (Azaheterocycle hydroxylase) (EC 1.17.3.-)	AOX1 AO	Homo sapiens (Human)	1338
Q86Y75	Q86Y75	unreviewed	Q86Y75_HUMAN	UPP1 protein		Homo sapiens (Human)	173
Q8N8Z4	Q8N8Z4		Q8N8Z4_HUMAN	deleted			
Q9Y2C8	Q9Y2C4	reviewed	EXOG_HUMAN	Nuclease EXOG, mitochondrial (EC 3.1.30.-) (Endonuclease G-like 1) (Endo G-like 1)	EXOG ENDOGL1 ENDOGL2 ENGL	Homo sapiens (Human)	368
Q6NXP9	Q14409	reviewed	GLPK3_HUMAN	Glycerol kinase 3 (GK 3) (Glycerokinase 3) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 3) (Glycerol kinase 3 pseudogene) (Glycerol kinase, testis specific 1)	GK3 GK3P GKP3 GKTB	Homo sapiens (Human)	553
Q9UC63	P02679	reviewed	FIBG_HUMAN	Fibrinogen gamma chain	FGG PRO2061	Homo sapiens (Human)	453
Q5TDR7	Q5TDR7		Q5TDR7_HUMAN	deleted			
Q8WX97	Q8WX97	unreviewed	Q8WX97_HUMAN	RGS12TS isoform		Homo sapiens (Human)	668
Q7JK51	Q29980	reviewed	MICB_HUMAN	MHC class I polypeptide-related sequence B (MIC-B)	MICB PERB11.2	Homo sapiens (Human)	383
Q96SQ3	Q8N2E2	reviewed	VWDE_HUMAN	von Willebrand factor D and EGF domain-containing protein	VWDE	Homo sapiens (Human)	1590
Q2TAZ7	Q2TAZ7		Q2TAZ7_HUMAN	deleted			
Q9NYN8	P21453	reviewed	S1PR1_HUMAN	Sphingosine 1-phosphate receptor 1 (S1P receptor 1) (S1P1) (Endothelial differentiation G-protein coupled receptor 1) (Sphingosine 1-phosphate receptor Edg-1) (S1P receptor Edg-1) (CD antigen CD363)	S1PR1 CHEDG1 EDG1	Homo sapiens (Human)	382
Q5SZC1	P08263	reviewed	GSTA1_HUMAN	Glutathione S-transferase A1 (EC 2.5.1.18) (13-hydroperoxyoctadecadienoate peroxidase) (EC 1.11.1.-) (Androst-5-ene-3,17-dione isomerase) (EC 5.3.3.-) (GST HA subunit 1) (GST class-alpha member 1) (GST-epsilon) (GSTA1-1) (GTH1) [Cleaved into: Glutathione S-transferase A1, N-terminally processed]	GSTA1	Homo sapiens (Human)	222
Q9H6E8	Q6DN14	reviewed	MCTP1_HUMAN	Multiple C2 and transmembrane domain-containing protein 1	MCTP1	Homo sapiens (Human)	999
Q6ZMM8	Q6ZMM8	unreviewed	Q6ZMM8_HUMAN	cDNA FLJ16816 fis, clone THYMU3046350, highly similar to Sodium- and chloride-dependent betaine transporter		Homo sapiens (Human)	501
Q8IVD8	O15015	reviewed	ZN646_HUMAN	Zinc finger protein 646	ZNF646 KIAA0296	Homo sapiens (Human)	1832
Q9BQN2	Q9BQN2		MT1P3_HUMAN	deleted			
Q6ICV7	P14209	reviewed	CD99_HUMAN	CD99 antigen (12E7) (E2 antigen) (Protein MIC2) (T-cell surface glycoprotein E2) (CD antigen CD99)	CD99 MIC2 MIC2X MIC2Y	Homo sapiens (Human)	185
Q6IE95	P09912	reviewed	IFI6_HUMAN	Interferon alpha-inducible protein 6 (Interferon-induced protein 6-16) (Ifi-6-16)	IFI6 G1P3	Homo sapiens (Human)	130
Q9Y3Y3	Q9NRF2	reviewed	SH2B1_HUMAN	SH2B adapter protein 1 (Pro-rich, PH and SH2 domain-containing signaling mediator) (PSM) (SH2 domain-containing protein 1B)	SH2B1 KIAA1299 SH2B	Homo sapiens (Human)	756
A2RUS9	A2RUS9		A2RUS9_HUMAN	deleted			
Q9H7V3	Q9H7V3	unreviewed	Q9H7V3_HUMAN	cDNA FLJ14219 fis, clone NT2RP3003800, highly similar to Rattus norvegicus tyrosine protein kinase pp60-c-src mRNA		Homo sapiens (Human)	251
Q6FI11	P27707	reviewed	DCK_HUMAN	Deoxycytidine kinase (dCK) (EC 2.7.1.74) (Deoxyadenosine kinase) (EC 2.7.1.76) (Deoxyguanosine kinase) (EC 2.7.1.113)	DCK	Homo sapiens (Human)	260
Q5QPD8	Q05048	reviewed	CSTF1_HUMAN	Cleavage stimulation factor subunit 1 (CF-1 50 kDa subunit) (Cleavage stimulation factor 50 kDa subunit) (CSTF 50 kDa subunit) (CstF-50)	CSTF1	Homo sapiens (Human)	431
Q86SZ0	Q86SZ0	unreviewed	Q86SZ0_HUMAN	Full-length cDNA clone CS0DK012YO09 of HeLa cells of Homo sapiens (human)		Homo sapiens (Human)	149
Q53XN9	Q15027	reviewed	ACAP1_HUMAN	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)	ACAP1 CENTB1 KIAA0050	Homo sapiens (Human)	740
Q2TTR4	O00422	reviewed	SAP18_HUMAN	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	SAP18 GIG38	Homo sapiens (Human)	153
Q9UCJ6	P13686	reviewed	PPA5_HUMAN	Tartrate-resistant acid phosphatase type 5 (TR-AP) (EC 3.1.3.2) (Tartrate-resistant acid ATPase) (TrATPase) (Type 5 acid phosphatase)	ACP5	Homo sapiens (Human)	325
Q5T475	Q5T475		Q5T475_HUMAN	deleted			
Q9NWG2	Q9NWG2	unreviewed	Q9NWG2_HUMAN	cDNA FLJ10044 fis, clone HEMBA1001088, moderately similar to PINCH PROTEIN		Homo sapiens (Human)	206
Q8TDF3	Q13702	reviewed	RAPSN_HUMAN	43 kDa receptor-associated protein of the synapse (RAPsyn) (43 kDa postsynaptic protein) (Acetylcholine receptor-associated 43 kDa protein) (RING finger protein 205)	RAPSN RNF205	Homo sapiens (Human)	412
Q9UD11	Q9UD11		Q9UD11_HUMAN	deleted			
Q8TDQ6	Q5QGZ9	reviewed	CL12A_HUMAN	C-type lectin domain family 12 member A (C-type lectin-like molecule 1) (CLL-1) (Dendritic cell-associated lectin 2) (DCAL-2) (Myeloid inhibitory C-type lectin-like receptor) (MICL) (CD antigen CD371)	CLEC12A CLL1 DCAL2 MICL	Homo sapiens (Human)	265
Q96IE5	Q68EN5	reviewed	MACA1_HUMAN	Microtubule-associated tyrosine carboxypeptidase 1 (EC 3.4.17.17) (Microtubule-associated tyrosine carboxypeptidase)	MATCAP1 KIAA0895L MATCAP	Homo sapiens (Human)	471
Q7Z4F3	Q7Z4F3	unreviewed	Q7Z4F3_HUMAN	Caveolin		Homo sapiens (Human)	147
Q6J164	P41594	reviewed	GRM5_HUMAN	Metabotropic glutamate receptor 5 (mGluR5)	GRM5 GPRC1E MGLUR5	Homo sapiens (Human)	1212
Q7L3Q4	Q5VZL5	reviewed	ZMYM4_HUMAN	Zinc finger MYM-type protein 4 (Zinc finger protein 262)	ZMYM4 KIAA0425 ZNF262	Homo sapiens (Human)	1548
Q59GK8	Q59GK8	unreviewed	Q59GK8_HUMAN	T-cell lymphoma invasion and metastasis 1 variant		Homo sapiens (Human)	1060
Q53YD8	Q53YD8	unreviewed	Q53YD8_HUMAN	ADP-ribosylation factor-like protein 2	hCG_23373	Homo sapiens (Human)	184
Q14777	Q14777	unreviewed	Q14777_HUMAN	Myosin		Homo sapiens (Human)	90
Q96HJ0	P46108	reviewed	CRK_HUMAN	Adapter molecule crk (Proto-oncogene c-Crk) (p38)	CRK	Homo sapiens (Human)	304
Q9NZ87	Q9NZ87	unreviewed	Q9NZ87_HUMAN	Uncharacterized bone marrow protein BM034		Homo sapiens (Human)	129
Q8WW68	Q6ZWE6	reviewed	PKHM3_HUMAN	Pleckstrin homology domain-containing family M member 3 (PH domain-containing family M member 3) (Differentiation associated protein)	PLEKHM3 DAPR PLEKHM1L	Homo sapiens (Human)	761
Q96LZ5	Q96LZ5	unreviewed	Q96LZ5_HUMAN	cDNA FLJ32960 fis, clone TESTI2008240		Homo sapiens (Human)	141
Q9NUT6	Q9BRF8	reviewed	CPPED_HUMAN	Serine/threonine-protein phosphatase CPPED1 (EC 3.1.3.16) (Calcineurin-like phosphoesterase domain-containing protein 1) (Complete S-transactivated protein 1)	CPPED1 CSTP1	Homo sapiens (Human)	314
Q9P0B4	Q9P0B4	unreviewed	Q9P0B4_HUMAN	HSPC267		Homo sapiens (Human)	188
Q6IBI0	O95084	reviewed	PRS23_HUMAN	Serine protease 23 (EC 3.4.21.-) (Putative secreted protein Zsig13)	PRSS23 ZSIG13 UNQ270/PRO307	Homo sapiens (Human)	383
Q9HAH9	Q9HAH9	unreviewed	Q9HAH9_HUMAN	cDNA FLJ11598 fis, clone HEMBA1003866, moderately similar to Mus musculus semaphorin VIa mRNA		Homo sapiens (Human)	367
Q6FH12	P10301	reviewed	RRAS_HUMAN	Ras-related protein R-Ras (EC 3.6.5.-) (p23)	RRAS	Homo sapiens (Human)	218
Q5VXR2	Q5VXR2		Q5VXR2_HUMAN	deleted			
Q17RU2	Q04864	reviewed	REL_HUMAN	Proto-oncogene c-Rel	REL	Homo sapiens (Human)	619
Q59F04	Q59F04	unreviewed	Q59F04_HUMAN	receptor protein-tyrosine kinase (EC 2.7.10.1)		Homo sapiens (Human)	777
Q8WVK4	P60228	reviewed	EIF3E_HUMAN	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (Viral integration site protein INT-6 homolog) (eIF-3 p48)	EIF3E EIF3S6 INT6	Homo sapiens (Human)	445
Q5VTM1	B3EWG3	reviewed	FM25A_HUMAN	Protein FAM25A	FAM25A	Homo sapiens (Human)	89
Q5VTM1	B3EWG5	reviewed	FM25C_HUMAN	Protein FAM25C	FAM25C	Homo sapiens (Human)	89
Q5VTM1	B3EWG6	reviewed	FM25G_HUMAN	Protein FAM25G	FAM25G	Homo sapiens (Human)	89
Q6ZU62	Q6ZU62		Q6ZU62_HUMAN	deleted			
Q8N710	Q8N710		Q8N710_HUMAN	deleted			
Q9NVK7	Q66K74	reviewed	MAP1S_HUMAN	Microtubule-associated protein 1S (MAP-1S) (BPY2-interacting protein 1) (Microtubule-associated protein 8) (Variable charge Y chromosome 2-interacting protein 1) (VCY2-interacting protein 1) (VCY2IP-1) [Cleaved into: MAP1S heavy chain; MAP1S light chain]	MAP1S BPY2IP1 C19orf5 MAP8 VCY2IP1	Homo sapiens (Human)	1059
Q59EE5	Q59EE5	unreviewed	Q59EE5_HUMAN	Tissue factor pathway inhibitor (Lipoprotein-associated coagulation inhibitor) variant		Homo sapiens (Human)	201
Q96AQ3	P18848	reviewed	ATF4_HUMAN	Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67)	ATF4 CREB2 TXREB	Homo sapiens (Human)	351
Q59FI5	Q59FI5	unreviewed	Q59FI5_HUMAN	protein kinase C (EC 2.7.11.13)		Homo sapiens (Human)	461
Q5JRH3	Q5DJT8	reviewed	CT452_HUMAN	Cancer/testis antigen family 45 member A2 (Cancer/testis antigen 45-2) (Cancer/testis antigen 45A2)	CT45A2 CT45-2	Homo sapiens (Human)	189
Q9BRE4	P54219	reviewed	VMAT1_HUMAN	Chromaffin granule amine transporter (Solute carrier family 18 member 1) (Vesicular amine transporter 1) (VAT1)	SLC18A1 VAT1 VMAT1	Homo sapiens (Human)	525
Q9BTX9	Q9BTX9		YC010_HUMAN	deleted			
Q9UD67	P35348	reviewed	ADA1A_HUMAN	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c)	ADRA1A ADRA1C	Homo sapiens (Human)	466
Q8N903	Q8N903	unreviewed	Q8N903_HUMAN	cDNA FLJ38624 fis, clone HEART2008994		Homo sapiens (Human)	457
Q8N9T1	Q8N9T1	unreviewed	Q8N9T1_HUMAN	cDNA FLJ36578 fis, clone TRACH2012562		Homo sapiens (Human)	121
